Niveluri de instruire, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Invatamant preuniversitar, Masculin, TOTAL, Anul 2013, Numar persoane, 199375
Invatamant preuniversitar, Masculin, TOTAL, Anul 2014, Numar persoane, 209848
Invatamant preuniversitar, Masculin, TOTAL, Anul 2015, Numar persoane, 187376
Invatamant preuniversitar, Masculin, TOTAL, Anul 2016, Numar persoane, 187516
Invatamant preuniversitar, Masculin, TOTAL, Anul 2017, Numar persoane, 186985
Invatamant preuniversitar, Masculin, Bihor, Anul 2013, Numar persoane, 6391
Invatamant preuniversitar, Masculin, Bihor, Anul 2014, Numar persoane, 6434
Invatamant preuniversitar, Masculin, Bihor, Anul 2015, Numar persoane, 5757
Invatamant preuniversitar, Masculin, Bihor, Anul 2016, Numar persoane, 5785
Invatamant preuniversitar, Masculin, Bihor, Anul 2017, Numar persoane, 5764
Invatamant preuniversitar, Masculin, Bistrita-Nasaud, Anul 2013, Numar persoane, 3293
Invatamant preuniversitar, Masculin, Bistrita-Nasaud, Anul 2014, Numar persoane, 3359
Invatamant preuniversitar, Masculin, Bistrita-Nasaud, Anul 2015, Numar persoane, 2921
Invatamant preuniversitar, Masculin, Bistrita-Nasaud, Anul 2016, Numar persoane, 2913
Invatamant preuniversitar, Masculin, Bistrita-Nasaud, Anul 2017, Numar persoane, 2983
Invatamant preuniversitar, Masculin, Cluj, Anul 2013, Numar persoane, 5878
Invatamant preuniversitar, Masculin, Cluj, Anul 2014, Numar persoane, 6361
Invatamant preuniversitar, Masculin, Cluj, Anul 2015, Numar persoane, 5488
Invatamant preuniversitar, Masculin, Cluj, Anul 2016, Numar persoane, 5764
Invatamant preuniversitar, Masculin, Cluj, Anul 2017, Numar persoane, 5717
Invatamant preuniversitar, Masculin, Maramures, Anul 2013, Numar persoane, 5007
Invatamant preuniversitar, Masculin, Maramures, Anul 2014, Numar persoane, 5182
Invatamant preuniversitar, Masculin, Maramures, Anul 2015, Numar persoane, 4614
Invatamant preuniversitar, Masculin, Maramures, Anul 2016, Numar persoane, 4780
Invatamant preuniversitar, Masculin, Maramures, Anul 2017, Numar persoane, 4666
Invatamant preuniversitar, Masculin, Satu Mare, Anul 2013, Numar persoane, 3267
Invatamant preuniversitar, Masculin, Satu Mare, Anul 2014, Numar persoane, 3552
Invatamant preuniversitar, Masculin, Satu Mare, Anul 2015, Numar persoane, 3050
Invatamant preuniversitar, Masculin, Satu Mare, Anul 2016, Numar persoane, 3213
Invatamant preuniversitar, Masculin, Satu Mare, Anul 2017, Numar persoane, 3153
Invatamant preuniversitar, Masculin, Salaj, Anul 2013, Numar persoane, 2459
Invatamant preuniversitar, Masculin, Salaj, Anul 2014, Numar persoane, 2489
Invatamant preuniversitar, Masculin, Salaj, Anul 2015, Numar persoane, 2224
Invatamant preuniversitar, Masculin, Salaj, Anul 2016, Numar persoane, 2284
Invatamant preuniversitar, Masculin, Salaj, Anul 2017, Numar persoane, 2162
Invatamant preuniversitar, Masculin, Alba, Anul 2013, Numar persoane, 3702
Invatamant preuniversitar, Masculin, Alba, Anul 2014, Numar persoane, 3885
Invatamant preuniversitar, Masculin, Alba, Anul 2015, Numar persoane, 3442
Invatamant preuniversitar, Masculin, Alba, Anul 2016, Numar persoane, 3647
Invatamant preuniversitar, Masculin, Alba, Anul 2017, Numar persoane, 3533
Invatamant preuniversitar, Masculin, Brasov, Anul 2013, Numar persoane, 4579
Invatamant preuniversitar, Masculin, Brasov, Anul 2014, Numar persoane, 4870
Invatamant preuniversitar, Masculin, Brasov, Anul 2015, Numar persoane, 4318
